"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"247","Garrett Celek (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"248","Jordan Reed (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"249","Dion Sims (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"250","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"251","Deangelo Peterson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"252","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"253","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"254","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"255","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"256","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"257","Antonio Gates (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"258","Clark Harris (CIN)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"259","Buck Ortega (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"260","Jake Nordin (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"261","Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
